#,gender,married,age,service,contract,billing,due
2561,m,m,54,p,y,a,0
2562,m,m,47,g,y,a,1
2563,f,s,76,g,n,a,0
2564,m,m,18,p,n,c,0
2565,m,m,41,p,y,c,0
2566,f,s,26,p,n,c,1
2567,m,m,70,b,n,c,2
2568,f,m,44,b,y,a,0
2569,f,m,62,g,n,c,0
2570,m,m,25,g,y,a,0
2571,m,s,71,p,y,c,0
2572,m,m,70,p,y,c,0
2573,m,s,32,b,n,a,1
2574,m,m,53,p,n,c,1
2575,m,s,59,p,n,a,0
2576,f,m,54,p,n,a,1
2577,m,m,50,b,y,c,1
2578,f,m,75,p,n,a,0
2579,m,m,72,g,y,c,0
2580,f,m,40,p,y,c,0
2581,f,m,61,p,n,a,0
2582,f,s,37,b,n,a,0
2583,m,s,34,p,y,c,0
2584,f,s,68,p,y,a,2
2585,f,m,70,p,n,c,0
2586,m,m,58,p,y,c,0
2587,m,s,40,b,n,a,2
2588,f,m,66,g,n,a,0
2589,m,s,50,p,n,a,0
2590,f,m,20,p,y,a,0
2591,m,m,22,b,n,a,0
2592,f,m,45,g,y,a,0
2593,m,m,35,g,y,a,0
2594,m,m,28,p,y,c,1
2595,f,m,59,p,n,c,0
2596,m,m,18,p,n,c,0
2597,f,s,79,g,n,a,0
2598,m,s,46,b,y,c,2
2599,m,s,37,p,y,c,0
2600,f,s,27,p,y,a,1
2601,m,s,36,g,n,c,0
2602,f,m,72,p,n,c,1
2603,f,s,74,b,y,a,0
2604,m,s,36,p,y,c,0
2605,m,m,22,g,y,c,0
2606,f,s,35,b,y,c,0
2607,m,s,61,g,n,c,1
2608,m,s,45,p,n,a,0
2609,f,m,40,g,y,c,2
2610,m,m,64,b,y,a,0
2611,f,m,66,g,n,c,0
2612,f,m,42,b,y,a,1
2613,f,s,24,g,n,c,2
2614,f,m,39,g,y,a,1
2615,f,s,45,g,n,a,0
2616,f,m,64,p,n,a,0
2617,f,m,31,b,y,c,2
2618,f,s,56,b,n,c,0
2619,m,s,63,g,y,a,0
2620,m,s,47,p,y,c,1
2621,m,s,67,b,n,a,0
2622,f,m,28,p,n,c,0
2623,m,m,64,g,y,a,2
2624,m,m,31,b,y,c,0
2625,m,m,55,b,y,c,0
2626,f,m,79,p,n,c,2
2627,m,m,74,p,n,a,1
2628,m,m,48,g,y,a,0
2629,f,s,48,g,y,c,0
2630,m,m,42,g,n,c,0
2631,m,s,59,g,y,c,0
2632,f,m,44,p,n,c,1
2633,m,s,19,b,n,c,0
2634,f,m,71,b,n,c,1
2635,f,s,66,g,n,a,0
2636,f,m,51,p,n,a,0
2637,m,s,60,p,y,a,0
2638,m,m,78,b,n,a,0
2639,m,m,29,p,n,c,0
2640,f,s,55,b,n,c,0
2641,m,s,61,g,y,c,1
2642,f,s,64,b,n,a,2
2643,f,m,54,b,n,c,0
2644,f,m,20,p,y,a,2
2645,m,m,22,g,y,c,0
2646,f,s,36,g,n,a,1
2647,f,m,64,p,n,c,0
2648,m,s,73,p,n,a,2
2649,f,m,35,p,y,c,0
2650,m,s,51,b,n,a,0
2651,f,m,58,p,y,a,1
2652,m,m,62,b,n,c,0
2653,m,m,79,p,y,a,2
2654,m,s,67,p,n,c,2
2655,f,m,21,b,y,a,0
2656,f,s,29,b,n,a,0
2657,f,s,41,p,n,a,0
2658,m,s,49,p,y,a,0
2659,f,s,56,g,y,c,2
2660,f,m,26,p,y,c,0
2661,m,m,41,g,y,a,0
2662,f,m,61,b,n,a,0
2663,f,m,47,b,n,c,2
2664,f,m,39,p,n,c,0
2665,m,m,78,g,y,c,0
2666,f,s,44,p,y,a,0
2667,m,m,77,g,y,c,0
2668,m,m,69,g,n,a,0
2669,m,s,79,p,y,a,0
2670,f,s,61,b,y,a,0
2671,f,m,51,g,y,a,0
2672,m,m,64,p,n,c,0
2673,m,m,26,p,y,a,0
2674,m,s,73,g,y,c,0
2675,m,m,55,p,y,a,0
2676,m,m,62,p,n,a,0
2677,f,m,45,g,n,c,1
2678,f,m,47,g,y,a,0
2679,f,s,77,b,n,c,1
2680,m,m,26,p,n,c,1
2681,f,m,21,b,y,a,2
2682,m,m,47,p,n,c,0
2683,m,s,40,b,n,a,2
2684,f,m,52,p,y,c,0
2685,f,s,74,p,y,c,2
2686,f,m,32,g,n,c,0
2687,f,s,37,p,y,a,0
2688,f,m,74,g,n,a,1
2689,f,s,39,g,n,a,0
2690,f,m,47,b,y,a,0
2691,m,m,75,p,y,c,0
2692,f,m,32,b,y,c,0
2693,m,m,38,p,y,c,0
2694,m,s,66,p,y,c,2
2695,m,m,27,b,y,a,0
2696,f,m,43,p,y,a,2
2697,m,m,19,g,n,c,0
2698,f,m,19,g,n,a,0
2699,f,m,22,p,n,a,0
2700,f,m,76,p,n,a,0
2701,f,m,22,g,y,c,0
2702,f,m,45,g,y,c,0
2703,m,m,47,p,n,c,1
2704,m,m,25,b,n,c,1
2705,f,m,57,b,y,c,0
2706,m,m,23,b,n,a,0
2707,f,m,59,b,y,c,1
2708,f,m,51,b,n,c,0
2709,m,s,53,p,y,a,2
2710,f,s,36,b,n,c,0
2711,f,s,51,p,y,a,0
2712,m,m,62,g,y,c,0
2713,f,m,66,g,y,a,0
2714,f,m,34,g,n,a,0
2715,f,m,76,p,n,a,1
2716,m,s,39,g,y,c,0
2717,m,m,56,g,n,a,0
2718,f,m,49,b,y,a,1
2719,f,m,54,b,n,a,0
2720,f,m,77,g,n,c,0
2721,f,m,35,p,y,c,1
2722,m,m,75,p,n,a,0
2723,f,s,22,g,y,c,1
2724,f,m,23,p,y,a,0
2725,m,s,22,g,n,a,0
2726,m,s,79,p,n,a,0
2727,m,m,43,g,y,a,0
2728,m,m,50,p,y,a,0
2729,m,s,35,b,y,a,0
2730,m,m,23,b,y,a,0
2731,m,m,20,g,n,a,0
2732,f,s,56,g,n,c,0
2733,f,m,73,b,y,c,0
2734,f,m,44,p,y,a,0
2735,f,s,78,b,n,c,0
2736,f,s,61,p,n,c,1
2737,m,s,65,g,y,c,2
2738,f,m,30,g,n,a,0
2739,m,m,37,p,n,c,0
2740,f,m,22,p,y,c,1
2741,m,s,23,p,y,a,0
2742,m,s,60,p,y,a,0
2743,m,m,41,p,n,a,0
2744,f,s,58,p,n,a,0
2745,m,m,56,g,y,c,0
2746,m,m,19,p,y,a,0
2747,m,m,40,p,y,c,1
2748,f,m,33,p,n,c,1
2749,m,s,30,g,y,a,0
2750,f,s,43,b,n,c,0
2751,m,m,28,b,y,a,2
2752,m,m,46,g,y,c,0
2753,m,m,36,b,n,a,1
2754,f,m,26,p,n,a,0
2755,f,m,75,b,y,c,0
2756,m,m,60,p,n,c,2
2757,m,m,25,b,n,c,0
2758,f,m,29,p,y,c,0
2759,f,m,63,p,y,a,0
2760,m,s,63,g,y,a,2
2761,m,s,59,g,y,c,0
2762,f,m,43,b,n,c,0
2763,f,m,31,p,n,c,2
2764,m,m,21,p,y,a,0
2765,f,m,57,g,n,a,0
2766,f,m,65,b,y,c,0
2767,m,m,59,p,n,a,1
2768,m,m,28,g,n,a,0
2769,f,m,68,g,y,c,1
2770,f,m,30,p,n,a,0
2771,m,s,36,g,n,c,0
2772,m,s,34,p,y,a,1
2773,m,m,20,p,n,a,0
2774,f,m,71,g,n,c,2
2775,m,s,34,p,n,c,0
2776,f,m,32,b,n,c,1
2777,m,m,67,p,y,c,0
2778,m,m,45,g,n,a,2
2779,m,s,27,g,y,c,0
2780,f,s,27,g,n,c,0
2781,f,s,45,p,y,a,0
2782,m,m,25,p,n,c,1
2783,m,m,67,p,y,a,1
2784,f,m,52,g,y,c,0
2785,f,s,65,p,n,c,0
2786,m,m,47,p,y,c,0
2787,f,m,64,p,y,a,0
2788,f,m,48,p,y,c,1
2789,f,m,22,p,n,c,0
2790,f,m,58,p,n,c,0
2791,m,m,42,b,y,a,0
2792,m,m,27,p,n,c,0
2793,f,m,32,b,y,a,0
2794,f,m,56,b,y,a,0
2795,f,s,21,g,n,c,0
2796,m,m,21,p,y,a,1
2797,f,m,43,b,y,c,0
2798,m,m,59,p,y,a,0
2799,m,m,23,p,y,c,0
2800,m,s,76,g,y,a,1
2801,m,m,60,g,n,c,0
2802,f,m,26,p,y,c,0
2803,f,m,33,g,n,c,0
2804,f,s,64,p,y,c,0
2805,f,m,20,p,y,a,0
2806,f,m,51,b,y,c,0
2807,f,s,41,p,y,a,0
2808,m,m,53,p,y,a,0
2809,f,m,24,g,n,c,1
2810,f,s,38,p,n,a,0
2811,f,m,62,p,n,c,0
2812,m,m,53,p,n,c,0
2813,m,s,33,b,n,a,0
2814,f,s,38,p,n,c,0
2815,m,m,40,p,y,a,1
2816,f,m,30,p,n,a,0
2817,f,m,64,p,n,c,0
2818,f,s,75,b,n,c,0
2819,m,m,51,p,n,c,1
2820,f,m,74,g,y,c,2
2821,m,s,73,b,n,a,0
2822,m,m,74,b,y,a,0
2823,m,m,68,g,y,c,0
2824,m,s,27,g,y,c,0
2825,m,s,34,g,y,c,1
2826,m,s,72,p,y,c,0
2827,m,s,69,b,n,c,0
2828,f,s,60,p,y,c,0
2829,m,m,59,p,n,c,0
2830,m,m,44,g,y,c,1
2831,f,m,55,g,y,c,0
2832,m,s,32,g,n,a,0
2833,m,m,30,g,n,c,1
2834,m,s,19,p,n,c,1
2835,m,s,29,g,y,a,0
2836,m,s,76,p,n,c,2
2837,m,m,56,b,n,c,0
2838,f,m,32,g,y,c,2
2839,f,s,44,b,n,a,0
2840,m,m,57,b,n,a,0
2841,m,m,43,p,y,c,0
2842,m,m,31,b,y,c,0
2843,f,s,78,p,y,a,0
2844,m,s,24,p,y,a,2
2845,f,m,43,b,n,a,2
2846,m,m,53,b,n,c,0
2847,m,s,71,p,y,c,0
2848,m,s,26,p,y,a,0
2849,m,m,21,p,y,c,0
2850,m,m,77,g,y,a,0
2851,f,s,39,p,y,c,0
2852,f,m,48,b,n,c,1
2853,f,m,28,p,n,a,0
2854,m,m,63,p,y,c,0
2855,m,s,19,g,y,a,0
2856,m,s,44,p,n,a,0
2857,m,s,51,g,y,a,1
2858,m,s,78,p,y,a,0
2859,f,m,67,p,n,a,0
2860,m,m,67,p,n,a,0
2861,f,m,47,p,y,c,0
2862,f,s,78,b,n,c,0
2863,f,m,76,b,y,a,2
2864,m,s,61,g,y,a,0
2865,f,m,36,p,y,a,0
2866,m,m,32,b,n,c,0
2867,f,m,47,p,y,a,0
2868,m,s,34,b,n,a,0
2869,f,m,75,g,n,c,1
2870,f,s,21,b,y,c,0
2871,f,s,25,b,y,a,0
2872,m,s,67,p,n,c,1
2873,m,m,43,g,y,a,0
2874,f,m,28,b,y,a,2
2875,f,s,75,g,n,c,0
2876,m,m,38,p,y,c,0
2877,m,s,24,g,n,c,0
2878,f,m,39,p,n,a,0
2879,f,m,24,g,y,a,0
2880,f,s,34,g,y,a,1
2881,m,m,30,g,y,c,0
2882,m,s,60,g,y,c,0
2883,m,m,28,p,n,a,0
2884,m,s,72,p,y,c,0
2885,m,s,74,p,n,c,1
2886,f,s,79,b,n,c,1
2887,m,m,46,b,n,a,0
2888,f,s,24,p,n,a,0
2889,m,s,34,g,y,c,0
2890,f,s,48,p,n,c,0
2891,m,s,47,p,y,c,0
2892,m,s,78,p,n,a,0
2893,f,m,56,b,y,c,0
2894,f,s,23,b,y,c,0
2895,m,m,41,b,n,a,2
2896,m,s,50,p,y,a,0
2897,m,m,57,p,y,a,1
2898,f,m,32,g,n,a,0
2899,m,s,77,p,y,a,0
2900,f,s,18,b,y,c,0
2901,m,m,23,b,n,c,0
2902,f,m,21,p,n,a,0
2903,f,s,70,b,n,a,0
2904,m,m,30,g,y,c,1
2905,f,m,74,g,y,a,0
2906,m,m,60,p,n,c,0
2907,m,m,61,g,y,a,0
2908,f,m,76,p,y,c,2
2909,m,m,56,b,n,a,0
2910,f,m,24,p,y,c,0
2911,m,s,35,p,y,c,0
2912,f,m,50,g,n,a,0
2913,m,m,30,b,n,a,1
2914,f,m,76,b,n,a,0
2915,f,m,52,p,n,c,0
2916,m,s,46,b,n,c,0
2917,f,s,45,p,y,a,1
2918,f,m,41,b,n,a,0
2919,m,m,78,g,n,c,0
2920,m,s,71,p,n,c,0
2921,f,s,27,b,y,c,0
2922,f,m,70,g,n,a,1
2923,f,m,58,p,y,a,0
2924,m,m,26,b,n,c,0
2925,f,m,60,b,y,a,0
2926,f,s,71,p,y,c,0
2927,m,s,44,p,y,c,2
2928,m,m,33,g,y,c,2
2929,m,m,68,g,n,c,0
2930,f,m,25,g,y,a,0
2931,f,m,66,b,y,c,2
2932,f,m,58,g,y,c,0
2933,m,s,45,p,y,c,0
2934,m,m,55,p,y,a,0
2935,m,m,45,p,y,a,0
2936,f,m,38,p,y,a,0
2937,f,m,27,g,y,a,1
2938,m,m,63,p,y,c,0
2939,f,m,74,p,y,a,0
2940,f,m,67,g,n,c,1
2941,f,m,45,p,y,c,0
2942,f,m,36,g,y,a,0
2943,m,s,18,p,n,a,0
2944,f,s,62,b,y,a,2
2945,f,s,32,g,y,c,0
2946,f,m,23,b,y,a,0
2947,f,m,68,p,n,c,0
2948,f,s,22,b,n,a,1
2949,m,m,22,b,n,c,0
2950,m,m,37,b,y,c,2
2951,f,s,62,p,n,a,0
2952,m,s,53,b,n,a,1
2953,m,m,68,p,n,a,0
2954,m,m,70,p,y,a,0
2955,f,s,34,g,y,c,0
2956,m,s,58,p,n,a,0
2957,f,s,41,b,y,a,2
2958,f,m,77,p,y,c,0
2959,m,s,18,p,n,a,0
2960,m,m,58,p,y,a,1
2961,f,s,75,p,y,a,0
2962,m,s,31,b,n,a,2
2963,m,m,34,b,y,a,0
2964,f,s,40,g,n,c,0
2965,f,m,27,p,n,a,1
2966,f,s,51,p,y,c,1
2967,f,m,22,g,y,a,1
2968,m,m,74,p,y,a,1
2969,m,s,47,g,y,c,1
2970,m,m,55,g,y,c,1
2971,m,s,41,b,n,a,1
2972,m,m,36,p,n,a,0
2973,m,s,39,p,n,c,0
2974,m,s,40,p,n,c,0
2975,f,s,40,g,y,c,0
2976,m,s,64,p,y,c,1
2977,f,m,27,g,y,a,0
2978,m,m,22,g,n,a,2
2979,m,s,38,g,y,a,0
2980,f,s,21,g,y,c,0
2981,f,s,72,g,y,c,0
2982,m,m,28,g,n,c,0
2983,m,m,34,p,n,c,1
2984,f,m,29,g,y,c,0
2985,f,m,56,g,y,a,2
2986,f,s,54,b,n,c,1
2987,f,s,26,b,y,a,1
2988,m,m,78,g,y,a,0
2989,f,s,18,g,n,a,0
2990,m,s,45,p,n,c,0
2991,f,m,50,p,n,c,1
2992,f,s,38,g,y,a,1
2993,m,m,65,p,n,a,0
2994,f,m,49,g,n,a,0
2995,m,s,29,g,y,a,0
2996,m,m,41,p,y,c,1
2997,m,m,48,p,n,a,0
2998,f,m,41,b,y,a,1
2999,f,m,67,p,y,c,0
3000,f,m,32,b,n,a,0
3001,f,s,66,g,y,a,0
3002,f,m,37,g,y,c,0
3003,m,s,65,b,n,a,0
3004,f,m,63,g,y,a,0
3005,m,m,44,b,y,a,1
3006,f,s,30,b,y,a,0
3007,m,m,48,g,y,c,1
3008,m,m,40,b,n,c,0
3009,m,s,28,p,n,a,0
3010,f,s,46,p,y,a,1
3011,f,m,38,p,n,c,1
3012,m,m,34,b,y,c,0
3013,f,s,75,p,n,a,0
3014,f,s,31,g,y,c,0
3015,m,s,39,g,n,c,1
3016,m,s,48,p,n,a,0
3017,m,s,64,p,n,a,1
3018,m,s,42,g,n,c,1
3019,f,s,62,g,y,a,1
3020,m,m,39,b,n,c,1
3021,f,m,49,p,n,c,0
3022,m,m,27,p,n,a,0
3023,m,m,69,g,y,c,0
3024,f,m,63,p,y,c,0
3025,f,s,69,b,y,c,0
3026,f,m,62,p,y,a,0
3027,f,m,54,g,n,a,0
3028,f,m,69,p,y,c,2
3029,m,m,77,b,n,a,0
3030,f,s,26,b,n,c,0
3031,f,s,37,p,n,a,0
3032,f,m,39,p,n,c,1
3033,m,s,68,b,y,a,0
3034,f,m,36,g,n,c,1
3035,f,m,79,p,y,c,0
3036,f,s,76,p,y,c,0
3037,f,m,58,p,y,a,1
3038,m,m,31,g,y,a,0
3039,f,s,43,b,n,a,0
3040,f,m,74,b,n,a,1
3041,m,s,51,g,n,c,0
3042,m,m,43,b,y,c,1
3043,f,m,35,g,n,c,1
3044,f,s,76,p,y,a,0
3045,f,m,62,g,y,a,1
3046,m,s,53,g,y,c,2
3047,f,m,74,p,n,a,2
3048,f,m,71,p,n,a,0
3049,f,m,52,p,y,a,0
3050,m,s,28,p,n,c,2
3051,f,s,71,g,n,c,0
3052,m,s,55,b,y,a,0
3053,f,m,35,b,y,c,0
3054,m,s,52,p,n,a,0
3055,m,m,51,p,y,c,0
3056,f,m,40,b,n,a,0
3057,m,m,18,p,y,c,1
3058,m,s,18,p,y,c,2
3059,f,s,20,b,n,c,0
3060,m,m,63,p,y,c,1
3061,f,m,39,p,y,a,1
3062,f,m,45,g,n,a,0
3063,f,s,33,b,y,a,0
3064,f,m,44,g,y,a,0
3065,m,m,57,b,n,a,0
3066,m,m,29,p,n,c,0
3067,m,s,65,p,n,a,0
3068,f,m,65,b,y,c,0
3069,m,m,19,g,y,c,0
3070,m,s,56,g,y,c,0
3071,m,m,69,p,y,c,0
3072,m,m,53,b,y,c,0
3073,m,s,70,p,n,a,2
3074,f,m,63,g,y,c,0
3075,f,s,69,b,y,a,1
3076,f,s,76,p,n,c,2
3077,m,s,63,g,y,c,1
3078,m,s,22,b,y,a,0
3079,f,s,75,p,y,c,0
3080,f,m,46,b,y,a,0
3081,f,m,51,p,n,a,0
3082,f,s,45,g,y,c,0
3083,f,m,42,p,n,a,0
3084,f,s,62,p,n,c,0
3085,f,s,78,p,y,a,0
3086,m,m,40,g,n,a,2
3087,m,m,19,p,y,c,2
3088,f,s,73,p,y,a,0
3089,m,m,70,b,n,a,1
3090,f,s,29,g,y,a,0
3091,m,s,48,p,y,a,1
3092,f,m,75,g,n,a,2
3093,f,m,78,b,y,c,0
3094,m,s,33,p,n,c,0
3095,m,s,35,b,y,a,0
3096,f,m,25,p,n,a,0
3097,m,s,26,p,y,a,0
3098,m,s,51,g,n,a,1
3099,f,m,26,g,y,c,0
3100,m,s,37,p,n,c,0
3101,f,s,21,b,y,a,1
3102,f,s,53,g,y,a,0
3103,f,m,41,g,y,c,1
3104,f,m,28,g,y,a,0
3105,m,s,19,p,y,a,0
3106,m,s,69,p,n,c,1
3107,f,m,67,p,y,c,0
3108,f,m,72,p,y,c,0
3109,m,m,68,b,n,c,0
3110,f,m,74,b,y,c,0
3111,f,m,25,p,n,c,2
3112,m,s,46,p,y,a,0
3113,m,m,77,b,n,a,1
3114,m,s,49,p,y,c,0
3115,m,s,74,g,y,a,0
3116,m,m,77,g,n,c,1
3117,m,m,52,g,n,c,0
3118,m,m,32,g,y,c,0
3119,f,m,49,b,y,a,0
3120,m,m,70,b,n,c,0
3121,m,m,58,g,n,a,1
3122,f,m,20,b,y,c,0
3123,m,s,42,p,n,c,0
3124,f,s,18,b,n,c,0
3125,m,s,37,p,y,c,0
3126,f,m,20,b,n,c,0
3127,f,s,56,g,y,a,0
3128,f,m,27,p,y,c,0
3129,m,m,60,p,y,a,2
3130,f,m,41,p,y,a,0
3131,m,s,32,g,n,a,0
3132,f,m,43,p,y,c,2
3133,m,m,30,p,n,c,1
3134,f,m,53,b,n,a,1
3135,f,m,68,p,n,a,0
3136,m,s,45,b,y,c,0
3137,m,s,77,p,y,c,0
3138,m,m,29,p,y,c,0
3139,f,m,55,b,y,c,0
3140,m,s,30,p,y,a,0
3141,f,m,62,g,n,c,0
3142,f,s,75,p,n,a,0
3143,m,m,23,b,n,a,1
3144,m,s,62,b,y,c,0
3145,m,m,72,p,y,a,0
3146,f,s,27,p,y,c,2
3147,f,m,51,p,y,a,0
3148,m,s,24,g,y,a,0
3149,f,m,60,p,n,a,0
3150,f,s,26,p,n,c,0
3151,m,m,34,p,n,a,1
3152,m,s,53,p,n,c,0
3153,m,m,56,g,n,a,0
3154,m,s,48,g,n,a,0
3155,m,m,69,g,n,a,0
3156,f,m,67,p,n,a,0
3157,f,s,32,p,n,a,0
3158,m,s,73,b,n,a,0
3159,f,s,28,b,y,a,0
3160,m,m,36,b,n,a,0
3161,m,s,62,b,n,c,0
3162,m,s,39,b,y,a,1
3163,f,m,60,b,y,c,1
3164,m,m,67,p,n,a,0
3165,f,m,63,b,y,c,0
3166,f,s,63,p,y,a,0
3167,f,m,71,g,n,c,0
3168,f,m,23,g,y,c,0
3169,f,m,67,g,n,a,0
3170,f,s,48,b,y,c,0
3171,m,s,27,g,n,c,2
3172,m,s,44,g,y,c,1
3173,f,s,42,p,n,c,1
3174,m,s,76,g,n,c,0
3175,f,s,24,b,y,a,0
3176,m,m,40,p,n,c,0
3177,f,m,76,b,n,c,0
3178,m,m,50,p,y,c,0
3179,m,m,25,p,y,a,1
3180,f,s,78,b,y,c,0
3181,f,m,40,b,n,a,0
3182,f,m,61,p,n,c,0
3183,m,m,42,p,y,c,0
3184,f,s,28,p,n,c,1
3185,f,m,63,p,n,a,0
3186,f,m,74,p,n,a,1
3187,m,s,59,p,y,c,1
3188,f,m,70,g,y,a,1
3189,m,s,36,p,n,c,0
3190,m,s,31,g,y,c,0
3191,f,m,78,g,n,a,0
3192,f,s,47,b,n,c,2
3193,f,s,69,b,n,a,1
3194,m,m,59,g,y,c,1
3195,m,s,61,p,y,a,0
3196,f,m,79,b,n,c,1
3197,m,s,33,g,y,a,0
3198,m,m,66,b,n,c,0
3199,f,m,64,g,y,c,1
3200,f,s,61,g,n,c,0
3201,m,s,43,g,y,a,2
3202,m,m,40,b,n,a,0
3203,m,m,62,g,y,c,1
3204,m,s,57,b,n,a,0
3205,f,m,65,g,y,a,0
3206,m,m,25,b,n,c,0
3207,f,m,41,b,n,c,0
3208,m,m,21,b,n,c,1
3209,m,m,21,p,n,c,0
3210,f,m,65,p,n,a,2
3211,f,m,28,b,n,a,1
3212,f,m,22,b,n,a,0
3213,m,s,43,p,y,c,0
3214,f,m,35,g,n,a,0
3215,m,s,54,b,y,c,0
3216,f,m,25,p,n,a,0
3217,m,m,59,p,y,c,1
3218,f,s,47,p,n,c,0
3219,m,m,29,g,y,c,0
3220,m,m,50,g,n,c,0
3221,f,m,31,b,y,a,0
3222,f,m,54,b,n,a,0
3223,m,s,20,p,y,a,0
3224,m,s,31,p,y,c,2
3225,m,m,44,p,y,c,0
3226,f,s,36,p,n,a,0
3227,f,m,60,p,n,a,0
3228,f,s,61,g,y,a,0
3229,f,m,31,p,y,a,1
3230,m,m,46,b,y,c,0
3231,f,m,35,b,y,a,0
3232,m,m,54,p,y,c,0
3233,f,m,76,g,n,a,0
3234,f,m,76,p,y,c,0
3235,f,s,23,p,y,a,0
3236,f,s,51,p,y,c,0
3237,f,s,74,g,y,a,1
3238,f,s,38,p,y,a,0
3239,m,m,68,p,n,a,0
3240,f,m,56,b,n,c,0
3241,m,s,76,g,n,c,1
3242,f,s,76,p,y,a,1
3243,f,s,65,b,y,c,0
3244,f,m,25,g,n,c,1
3245,m,s,40,g,y,c,0
3246,f,s,79,b,n,c,0
3247,f,m,79,b,y,c,0
3248,m,m,26,p,y,c,0
3249,m,s,35,p,y,a,0
3250,f,s,45,b,y,a,0
3251,f,m,69,b,n,c,0
3252,m,m,57,g,n,c,0
3253,m,s,59,p,y,c,0
3254,f,s,72,b,n,c,1
3255,m,s,65,p,n,c,0
3256,m,s,34,p,n,a,0
3257,m,s,18,p,y,a,0
3258,f,s,62,b,n,a,0
3259,m,s,37,p,n,a,2
3260,f,s,60,b,y,a,0
3261,f,s,49,b,y,a,0
3262,m,s,37,p,y,a,1
3263,f,s,64,g,y,a,2
3264,m,m,47,p,y,c,0
3265,m,m,33,p,n,c,2
3266,m,s,31,b,n,a,0
3267,f,m,71,b,y,a,0
3268,m,m,61,b,n,a,0
3269,f,m,27,b,y,c,0
3270,f,s,53,g,y,a,1
3271,m,m,72,b,n,a,2
3272,f,m,66,p,y,a,0
3273,m,s,18,g,n,a,2
3274,f,m,55,g,n,c,0
3275,m,m,47,p,n,a,2
3276,f,s,74,b,y,c,1
3277,m,m,61,b,y,c,0
3278,f,m,20,p,n,a,0
3279,m,m,46,p,n,a,2
3280,m,m,61,p,n,c,0
3281,f,m,19,g,n,a,0
3282,m,s,30,g,y,a,0
3283,m,m,36,b,y,c,2
3284,m,m,77,p,n,a,1
3285,f,s,55,p,y,c,0
3286,f,m,70,b,y,c,0
3287,m,m,63,b,n,a,1
3288,f,m,22,p,n,a,0
3289,f,s,20,p,y,a,0
3290,m,m,23,p,y,a,0
3291,f,s,70,b,y,a,2
3292,f,s,41,p,y,a,1
3293,m,s,24,p,n,c,0
3294,m,s,79,p,n,a,0
3295,m,m,35,g,y,a,0
3296,f,m,77,p,y,a,0
3297,m,m,39,p,y,c,2
3298,f,m,21,p,n,a,0
3299,m,m,47,b,n,a,0
3300,m,s,61,b,y,c,0
3301,m,m,47,p,n,c,1
3302,m,m,29,b,y,c,0
3303,f,s,66,p,y,a,0
3304,m,m,41,b,y,a,0
3305,m,m,54,b,y,a,2
3306,f,s,42,b,n,c,0
3307,f,m,79,p,y,c,0
3308,f,s,65,g,n,c,0
3309,f,m,72,p,y,a,1
3310,f,m,42,g,y,c,1
3311,f,s,55,p,y,c,0
3312,f,s,44,p,y,a,1
3313,m,s,77,b,y,a,0
3314,f,s,73,p,y,c,2
3315,f,s,37,g,y,a,0
3316,f,m,34,p,y,a,2
3317,m,m,48,b,y,c,0
3318,m,m,77,g,n,a,0
3319,f,m,21,p,n,a,1
3320,f,m,57,b,n,c,0
3321,m,s,29,g,y,a,2
3322,f,m,73,p,n,a,0
3323,m,m,21,b,n,c,0
3324,m,s,65,g,n,a,2
3325,f,m,78,b,n,c,0
3326,f,m,27,p,n,c,0
3327,f,m,25,b,n,a,0
3328,m,s,76,p,n,c,0
3329,m,m,69,g,n,a,0
3330,m,m,74,b,y,c,2
3331,f,m,57,g,n,a,0
3332,m,m,49,p,y,c,0
3333,f,s,58,p,n,c,0
3334,m,s,35,p,y,c,0
3335,m,m,18,p,n,a,0
3336,f,s,34,p,n,c,0
3337,m,m,37,g,n,a,0
3338,f,s,67,p,y,a,1
3339,f,m,77,g,y,a,0
3340,m,s,74,g,y,a,0
3341,m,s,49,g,y,c,0
3342,m,m,25,g,y,a,0
3343,m,m,19,g,n,c,0
3344,m,s,71,p,y,a,0
3345,f,s,73,p,n,c,0
3346,m,s,79,g,y,a,1
3347,m,s,60,g,n,c,2
3348,f,s,41,b,n,a,0
3349,m,m,67,p,n,c,0
3350,m,m,71,g,y,c,0
3351,f,s,42,g,y,c,0
3352,f,m,65,b,y,c,0
3353,m,m,40,g,n,c,1
3354,f,m,73,p,n,c,0
3355,m,m,20,p,n,c,0
3356,f,m,65,p,y,a,1
3357,f,m,64,p,y,c,0
3358,f,m,34,p,n,a,0
3359,f,m,38,g,n,c,1
3360,f,m,79,g,y,a,0
3361,m,s,39,b,n,c,0
3362,m,m,43,g,y,c,0
3363,m,m,40,p,n,c,0
3364,m,s,51,p,y,c,0
3365,f,s,64,p,y,c,0
3366,m,s,64,b,y,c,1
3367,m,m,49,b,y,c,1
3368,m,s,36,p,y,c,2
3369,f,s,76,b,n,c,2
3370,m,s,19,g,n,a,1
3371,m,m,28,b,y,c,0
3372,m,s,65,p,n,c,0
3373,f,m,53,p,y,c,1
3374,m,s,52,p,n,c,0
3375,f,s,45,p,y,a,0
3376,m,m,23,b,y,a,2
3377,m,m,62,b,y,c,0
3378,f,m,35,g,y,a,0
3379,m,m,36,g,y,a,1
3380,f,m,48,b,n,c,1
3381,m,m,28,p,y,c,0
3382,m,m,58,g,y,c,0
